,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genres
1135,6C0bdY5MgM2WYu6yuxtzC5,Opus #1,24,175920,0,['Tommy Dorsey'],['4WoGga7UeRcmjD4ufif4nG'],1925,0.377,0.497,0,-9.292,0,0.0332,0.939,0.946,0.322,0.657,169.203,4,"['adult standards', 'big band', 'easy listening', 'jazz trombone', 'lounge', 'stride', 'swing', 'vocal jazz']"
1136,5YYbVEtvB0PHxYVXrJTDpM,Boogie Woogie,21,189787,0,['Tommy Dorsey'],['4WoGga7UeRcmjD4ufif4nG'],1925,0.689,0.222,5,-15.98,1,0.127,0.852,0.924,0.104,0.917,145.205,4,"['adult standards', 'big band', 'easy listening', 'jazz trombone', 'lounge', 'stride', 'swing', 'vocal jazz']"
1137,3fHgV9OfktqOegAvEP6zlv,Star Dust,20,185747,0,['Tommy Dorsey'],['4WoGga7UeRcmjD4ufif4nG'],1925,0.473,0.0887,0,-13.93,1,0.0418,0.988,0.0,0.118,0.288,78.675,3,"['adult standards', 'big band', 'easy listening', 'jazz trombone', 'lounge', 'stride', 'swing', 'vocal jazz']"
1138,0sSVsv3yHMSkL0qeLRoRDa,(What Did I Do To Be So) Black and Blue?,19,178293,0,['Ethel Waters'],['3INcDDCxVKMIQT6rfR7kud'],1925,0.7,0.197,2,-11.915,1,0.136,0.954,0.0,0.361,0.56,120.542,4,"['big band', 'harlem renaissance', 'stride', 'tin pan alley', 'torch song', 'vintage jazz']"
1139,0ZHK59K7BHrl6COwYXnnxJ,Sweet Georgia Brown,17,126592,0,['James Piano Bar'],['5p44gWXVKjv3OMhh8Uj1bH'],1925,0.856,0.137,2,-19.431,1,0.0423,0.989,0.948,0.109,0.415,103.779,4,[]
1140,20Kjljtn4LFdxyQOJPLqBR,Sweet Georgia Brown,17,119096,0,['Patrick Hunt'],['3t4jXLaLsUFKjmhA5NiNYL'],1925,0.906,0.103,1,-21.967,0,0.045,0.993,0.95,0.106,0.427,107.829,4,[]
1141,0VrJGvUzoKxMcYJwmGjp6o,Don't Forget To Mess Around,16,181933,0,['Louis Armstrong & His Hot Five'],['0t4VVR2T9Sb0z3NdDdEU6S'],1925,0.634,0.335,5,-11.135,0,0.0646,0.992,0.0124,0.0919,0.774,101.383,4,['new orleans jazz']
1142,0aUTZjgkNG4jJ0wzqtXh2G,My Melancholy Baby,13,180960,0,['The Dorsey Brothers'],['5gjTHwdSke7uwJH3yDMDjl'],1925,0.731,0.341,3,-9.87,1,0.146,0.968,0.138,0.212,0.852,101.408,4,[]
1143,6O89uMM5FDGGRJ6aYLG51B,Stormy Weather (Keeps Rainin' All The Time) - 78rpm Version,13,185840,0,['Ethel Waters'],['3INcDDCxVKMIQT6rfR7kud'],1925,0.35,0.213,0,-12.808,1,0.0399,0.954,0.0,0.254,0.43,85.369,3,"['big band', 'harlem renaissance', 'stride', 'tin pan alley', 'torch song', 'vintage jazz']"
1144,7r9c3mqLjqfVe791cERNOI,"Yes, Indeed!",12,209987,0,"['Tommy Dorsey', 'Sy Oliver', 'Jo Stafford']","['4WoGga7UeRcmjD4ufif4nG', '27mxmjGJOVEKUV3VaHBkbj', '1Jqk46QvzUn7SnwmTGX6Cw']",1925,0.804,0.217,0,-12.118,1,0.0602,0.945,0.0687,0.0849,0.498,131.117,4,"['adult standards', 'big band', 'brill building pop', 'easy listening', 'lounge', 'swing', 'torch song', 'vocal jazz', 'jazz trombone', 'stride']"
